time,mean,std
97,0.10167106889,0.06862339661503755
98,0.09122982293,0.05676824624937125
99,0.12639112085,0.10830733494925575
100,0.11477322516,0.08186022551975436
101,0.11312707373,0.06620739251849003
102,0.10924968937,0.07348647129453374
103,0.11733430908,0.07820643527670458
104,0.11181003772,0.07526138276253293
105,0.1288697645,0.09916466123126647
106,0.1106050257,0.08473749530222519
107,0.10478048966,0.07242502133682212
108,0.11665274640000001,0.0709693141615239
109,0.12627926391,0.06964630300153293
110,0.10883700318,0.06615935433192234
111,0.11406186979,0.07862815397943623
112,0.11969194695,0.0795458301745085
113,0.12406236075,0.09098284895753761
114,0.13086188461,0.09897262421336869
